action,risk,ats_type,ats_identifier,name,clean_name,board_url,jobs_count,sample_title_1,has_real_domain,domain_to_use,existing_db_name,existing_db_domain
insert,low,ashby,uncountable,"Uncountable Inc","Uncountable Inc",https://jobs.ashbyhq.com/uncountable,30,"Solutions Architect / Engineering Manager – Chemistry Applications",no,uncountable.ashby.ats-placeholder,,
insert,med,ashby,latent,"Latent","Latent",https://jobs.ashbyhq.com/latent,21,"Recruiting Coordinator",no,latent.ashby.ats-placeholder,,
insert,low,lever,blinkux,"Blink UX","Blink UX",https://jobs.lever.co/blinkux,8,"Director of Client Relations",no,blinkux.lever.ats-placeholder,,
insert,med,ashby,atob,"AtoB","AtoB",https://jobs.ashbyhq.com/atob,13,"Head of Sales, SMB",no,atob.ashby.ats-placeholder,,
skip-ats,low,greenhouse,loop,"Loop AI - Delivery Intelligence Platform","Loop AI - Delivery Intelligence Platform",https://boards.greenhouse.io/loop,15,"2026 New Grad | Software Engineer, Full-Stack (Chicago)",no,loop.greenhouse.ats-placeholder,,
insert,med,lever,nium,"Nium","Nium",https://jobs.lever.co/nium,70,"Analyst/Senior Analyst- KYC Operations",no,nium.lever.ats-placeholder,,
skip-ats,med,ashby,gigaml,"Giga (gigaml.com)","Giga",https://jobs.ashbyhq.com/gigaml,51,"Staff Frontend Infrastructure Engineer",no,gigaml.ashby.ats-placeholder,,
insert,low,ashby,anglehealth,"Angle Health","Angle Health",https://jobs.ashbyhq.com/anglehealth,2,"Head of IT & Cybersecurity",no,anglehealth.ashby.ats-placeholder,,
insert,med,ashby,casca,"Casca","Casca",https://jobs.ashbyhq.com/casca,9,"Product Manager",no,casca.ashby.ats-placeholder,,
insert,low,greenhouse,gigs,"Gigs","Gigs",https://boards.greenhouse.io/gigs,32,"Business Operations",no,gigs.greenhouse.ats-placeholder,,
insert,low,greenhouse,hightouch,"Hightouch","Hightouch",https://boards.greenhouse.io/hightouch,63,"Account Executive, Enterprise West",no,hightouch.greenhouse.ats-placeholder,,
insert,med,ashby,stable,"Stable (usestable.com)","Stable",https://jobs.ashbyhq.com/stable,8,"Customer Support Specialist",no,stable.ashby.ats-placeholder,,
insert,low,lever,diamondfoundry,"Diamond Foundry","Diamond Foundry",https://jobs.lever.co/diamondfoundry,50,"Control/Automation Engineer",no,diamondfoundry.lever.ats-placeholder,,
insert,low,greenhouse,socket,"Socket (socket.dev)","Socket",https://boards.greenhouse.io/socket,1,"Wildcard",no,socket.greenhouse.ats-placeholder,,
insert,med,ashby,e2b,"E2B","E2B",https://jobs.ashbyhq.com/e2b,17,"Product Engineer - AI",no,e2b.ashby.ats-placeholder,,
insert,med,ashby,classdojo,"ClassDojo","ClassDojo",https://jobs.ashbyhq.com/classdojo,20,"Senior Growth Engineer",no,classdojo.ashby.ats-placeholder,,
insert,med,ashby,inngest,"Inngest","Inngest",https://jobs.ashbyhq.com/inngest,4,"Distributed Systems Engineer - Platform",no,inngest.ashby.ats-placeholder,,
insert,med,ashby,scribe,"Scribe","Scribe",https://jobs.ashbyhq.com/scribe,36,"Senior Product Analyst, Strategy and Insights",no,scribe.ashby.ats-placeholder,,
insert,low,greenhouse,sei,"Sei Labs","Sei Labs",https://boards.greenhouse.io/sei,1,"Garden Education Nonprofit Leadership Fellow",no,sei.greenhouse.ats-placeholder,,
insert,low,greenhouse,wholesail,"Wholesail","Wholesail",https://boards.greenhouse.io/wholesail,3,"Backend Product Engineer",no,wholesail.greenhouse.ats-placeholder,,
insert,med,lever,teecom,"TEECOM","TEECOM",https://jobs.lever.co/teecom,54,"Associate - Audiovisual",no,teecom.lever.ats-placeholder,,
skip-ats,med,ashby,neon,"Neon (neonpay.com)","Neon",https://jobs.ashbyhq.com/neon,7,"Software Engineer",no,neon.ashby.ats-placeholder,,
insert,low,greenhouse,paystand,"Paystand","Paystand",https://boards.greenhouse.io/paystand,16,"Account Executive ",no,paystand.greenhouse.ats-placeholder,,
insert,med,ashby,netic,"Netic","Netic",https://jobs.ashbyhq.com/netic,21,"Software Engineer, Product Infrastructure",no,netic.ashby.ats-placeholder,,
insert,low,greenhouse,astranis,"Astranis Space Technologies","Astranis Space Technologies",https://boards.greenhouse.io/astranis,147,"Account Manager ",no,astranis.greenhouse.ats-placeholder,,
insert,med,ashby,langfuse,"Langfuse","Langfuse",https://jobs.ashbyhq.com/langfuse,8,"DevRel Engineer",no,langfuse.ashby.ats-placeholder,,
insert,med,ashby,parkade,"Parkade","Parkade",https://jobs.ashbyhq.com/parkade,6,"Account Executive",no,parkade.ashby.ats-placeholder,,
insert,low,ashby,networkright,"Network Right","Network Right",https://jobs.ashbyhq.com/networkright,10,"Can't find the role you wanted? Open applications here. ",no,networkright.ashby.ats-placeholder,,
insert,low,smartrecruiters,sia,"Sia Partners","Sia Partners",https://careers.smartrecruiters.com/sia,100,"Partner Marketing Manager-Contract-(6 Months)",no,sia.smartrecruiters.ats-placeholder,,
insert,med,ashby,firetiger,"Firetiger","Firetiger",https://jobs.ashbyhq.com/firetiger,4,"Company Operator / Chief of Staff",no,firetiger.ashby.ats-placeholder,,
insert,med,lever,angellist,"AngelList","AngelList",https://jobs.lever.co/angellist,14,"Account Executive",no,angellist.lever.ats-placeholder,,
insert,med,ashby,arena,"Arena (arena.ai)","Arena",https://jobs.ashbyhq.com/arena,17,"Social Media Lead",no,arena.ashby.ats-placeholder,,
insert,med,ashby,middesk,"Middesk","Middesk",https://jobs.ashbyhq.com/middesk,11,"Software Engineer",no,middesk.ashby.ats-placeholder,,
insert,low,ashby,nabihealth,"Nabi Health","Nabi Health",https://jobs.ashbyhq.com/nabihealth,11,"Billing, Credentialing & Back-Office Operations Coordinator",no,nabihealth.ashby.ats-placeholder,,
insert,med,ashby,lightfield,"Lightfield","Lightfield",https://jobs.ashbyhq.com/lightfield,15,"Machine Learning Engineer",no,lightfield.ashby.ats-placeholder,,
insert,med,ashby,foxglove,"Foxglove","Foxglove",https://jobs.ashbyhq.com/foxglove,11,"Senior Software Engineer, Data",no,foxglove.ashby.ats-placeholder,,
skip-ats,low,ashby,cohere,"Cohere AI","Cohere AI",https://jobs.ashbyhq.com/cohere,128,"Member of Technical Staff, MLE (Korea)",no,cohere.ashby.ats-placeholder,,
insert,med,lever,gauntlet,"Gauntlet","Gauntlet",https://jobs.lever.co/gauntlet,4,"DeFi Business Development Representative",no,gauntlet.lever.ats-placeholder,,
insert,med,ashby,ando,"Ando (ando.so)","Ando",https://jobs.ashbyhq.com/ando,7,"Brand Designer",no,ando.ashby.ats-placeholder,,
insert,low,ashby,ambiencehealthcare,"Ambience Healthcare","Ambience Healthcare",https://jobs.ashbyhq.com/ambiencehealthcare,23,"Staff Software Engineer, Product",no,ambiencehealthcare.ashby.ats-placeholder,,
insert,high,ashby,sentra,"Sentra (sentra.app)","Sentra",https://jobs.ashbyhq.com/sentra,3,"Senior Backend Software Engineer",no,sentra.ashby.ats-placeholder,,
insert,med,ashby,column,"Column","Column",https://jobs.ashbyhq.com/column,12,"I don't fit into any of these roles!",no,column.ashby.ats-placeholder,,
insert,low,greenhouse,ripple,"Ripple","Ripple",https://boards.greenhouse.io/ripple,119,"Accounting Manager",no,ripple.greenhouse.ats-placeholder,,
insert,low,ashby,nirvana,"Nirvana Insurance","Nirvana Insurance",https://jobs.ashbyhq.com/nirvana,3,"Manager, Underwriting Strategy & Operations",no,nirvana.ashby.ats-placeholder,,
insert,low,greenhouse,anaplan,"Anaplan","Anaplan",https://boards.greenhouse.io/anaplan,257,"Account Executive",no,anaplan.greenhouse.ats-placeholder,,
insert,low,ashby,mem,"Mem Protocol","Mem Protocol",https://jobs.ashbyhq.com/mem,4,"Platform Engineer",no,mem.ashby.ats-placeholder,,
insert,med,ashby,speak,"Speak","Speak",https://jobs.ashbyhq.com/speak,43,"Staff Product Designer",no,speak.ashby.ats-placeholder,,
insert,low,greenhouse,gmmb,"GMMB","GMMB",https://boards.greenhouse.io/gmmb,9,"Account Executive, Global Health and Development",no,gmmb.greenhouse.ats-placeholder,,
insert,low,greenhouse,workato,"Workato","Workato",https://boards.greenhouse.io/workato,168,"Account Executive",no,workato.greenhouse.ats-placeholder,,
insert,low,greenhouse,rocketlawyer,"Rocket Lawyer","Rocket Lawyer",https://boards.greenhouse.io/rocketlawyer,14,"AI/ML Software Engineer",no,rocketlawyer.greenhouse.ats-placeholder,,
insert,med,lever,finix,"Finix","Finix",https://jobs.lever.co/finix,10,"Customer Delivery Manager",no,finix.lever.ats-placeholder,,
insert,med,ashby,arcade,"Arcade.dev","Arcade.dev",https://jobs.ashbyhq.com/arcade,6,"Arcade Talent Network",no,arcade.ashby.ats-placeholder,,
insert,low,ashby,abridge,"Abridge AI","Abridge AI",https://jobs.ashbyhq.com/abridge,63,"Machine Learning Scientist (All Levels)",no,abridge.ashby.ats-placeholder,,
insert,med,ashby,stytch,"Stytch","Stytch",https://jobs.ashbyhq.com/stytch,5,"Experienced Product Designer",no,stytch.ashby.ats-placeholder,,
insert,low,smartrecruiters,hivemapper,"Hivemapper","Hivemapper",https://careers.smartrecruiters.com/hivemapper,2,"Technical Product Manager",no,hivemapper.smartrecruiters.ats-placeholder,,
insert,med,ashby,orum,"Orum","Orum",https://jobs.ashbyhq.com/orum,5,"Senior Software Engineer - Product Platform Team",no,orum.ashby.ats-placeholder,,
insert,low,smartrecruiters,lottiefiles,"LottieFiles","LottieFiles",https://careers.smartrecruiters.com/lottiefiles,1,"Senior Platform Engineer",no,lottiefiles.smartrecruiters.ats-placeholder,,
